,Accountable_Organization,Implementing_Organization,Award_Status,Award_Total_Estimated_Value,Award_Start_Date,Award_End_Date,Award_Transaction_Value,Award_Transaction_DAC_Purpose_Code,Award_Transaction_DAC_Purpose_Code_Name,Award_Transaction_US_Foreign_Assistance_Category,Year
4026,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,2223573.0,2015-10-01,2017-09-30,755722.0,72010,Material relief assistance and services,Humanitarian Assistance,2015
4027,U.S. Agency for International Development,Enterprise - Non United States Unknown,Completion,0.0,2014-10-01,2015-09-30,15.0,43010,Multisector aid,Education and Social Services,2014
4028,U.S. Agency for International Development,Personal Services Contractors - USAID,Implementation,0.0,2016-10-01,2018-09-30,10248.3899999999,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2016
4029,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,3194441.0,2016-10-01,2018-09-30,3194441.0,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2016
4030,U.S. Agency for International Development,U.S. Government - Department of State,Completion,0.0,2012-10-01,2014-09-30,3625.0,74010,Disaster prevention and preparedness,Humanitarian Assistance,2012
4031,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,6183912.0,2015-10-01,2018-09-30,800000.0,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2015
4032,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2014-10-01,2017-09-30,2285297.0,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2014
4033,U.S. Agency for International Development,Enterprise - Non United States Unknown,Completion,0.0,2015-10-01,2016-09-30,1178.3,43010,Multisector aid,Education and Social Services,2015
4034,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,1851261.0,2015-10-01,2018-09-30,346042.0,72010,Material relief assistance and services,Humanitarian Assistance,2015
4035,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2013-10-01,2014-09-30,1555.0,72010,Material relief assistance and services,Humanitarian Assistance,2013
4036,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2014-10-01,2015-09-30,259059.0,43010,Multisector aid,Program Management,2014
4037,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,11087194.0,2013-08-26,2016-09-30,453000.0,72010,Material relief assistance and services,Humanitarian Assistance,2013
4039,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2013-08-26,2016-09-30,373000.0,72010,Material relief assistance and services,Humanitarian Assistance,2013
4040,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2012-10-01,2016-09-30,37658.0,72010,Material relief assistance and services,Humanitarian Assistance,2012
4041,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2012-11-27,2017-09-30,2000000.0,72010,Material relief assistance and services,Humanitarian Assistance,2012
4042,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,10000000.0,2016-10-01,2017-09-30,10000000.0,72040,Emergency food aid,Peace and Security,2016
4043,U.S. Agency for International Development,Enterprise - Non United States Unknown,Completion,0.0,2015-10-01,2017-09-30,6630.39999999999,72010,Material relief assistance and services,Humanitarian Assistance,2015
4044,U.S. Agency for International Development,Vendor implementing direct administrative services,Implementation,0.0,2017-10-01,2018-09-30,78503.3699999999,91010,Administrative costs,Program Management,2017
4045,U.S. Department of State,CELESTAR CORPORATION,Completion ,6500000.0,2016-05-03,2018-05-02,3150.0,43010,Multisector aid,Multi-sector,2016
4046,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2012-10-01,2014-09-30,894.63,72010,Material relief assistance and services,Humanitarian Assistance,2012
4047,U.S. Agency for International Development,Dexis Consulting Group,Implementation,12333368.0,2014-10-01,2018-09-30,527474.76,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2014
4048,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,4840020.44,2013-08-28,2017-09-30,481475.56,72010,Material relief assistance and services,Humanitarian Assistance,2013
4049,U.S. Agency for International Development,U.S. Government - Department of State,Completion,0.0,2014-10-01,2015-09-30,55.0,72010,Material relief assistance and services,Humanitarian Assistance,2014
4050,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2015-10-01,2016-09-30,9460.0,72010,Material relief assistance and services,Humanitarian Assistance,2015
4051,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,1900697.0,2016-10-01,2018-09-30,1900697.0,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2016
4053,U.S. Agency for International Development,United Nations Children's Fund,Completion,0.0,2013-09-06,2016-09-30,9000000.0,72010,Material relief assistance and services,Humanitarian Assistance,2013
4054,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,3156821.0,2015-10-01,2018-09-30,1040000.0,72010,Material relief assistance and services,Humanitarian Assistance,2015
4055,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2014-10-01,2017-09-30,3579.32,72010,Material relief assistance and services,Humanitarian Assistance,2014
4056,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2012-10-01,2014-09-30,30925.0,72010,Material relief assistance and services,Humanitarian Assistance,2012
4057,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2012-10-01,2014-09-30,405.54,74010,Disaster prevention and preparedness,Humanitarian Assistance,2012
4058,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,69650000.0,2016-10-01,2018-09-30,4000000.0,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2016
4059,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2014-01-31,2017-09-30,501.829999999999,72010,Material relief assistance and services,Humanitarian Assistance,2014
4060,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2014-01-01,2017-09-30,130238.149999999,72010,Material relief assistance and services,Humanitarian Assistance,2014
4061,U.S. Agency for International Development,Vendor implementing direct administrative services,Implementation,0.0,2017-10-01,2018-09-30,23965.8899999999,91010,Administrative costs,Program Management,2017
4062,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,10000000.0,2015-09-30,2018-09-30,589299.959999999,72010,Material relief assistance and services,Humanitarian Assistance,2015
4063,U.S. Agency for International Development,Enterprise - Non United States Unknown,Completion,0.0,2014-10-01,2015-09-30,2516.34999999999,43010,Multisector aid,Education and Social Services,2014
4064,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2014-01-01,2016-09-30,2500000.0,72010,Material relief assistance and services,Humanitarian Assistance,2014
4065,U.S. Agency for International Development,United Nations Children's Fund,Implementation,24044758.0,2015-10-01,2018-09-30,2826982.95,72010,Material relief assistance and services,Humanitarian Assistance,2015
4066,U.S. Agency for International Development,Vendor implementing direct administrative services,Implementation,0.0,2017-10-01,2018-09-30,48485.0,91010,Administrative costs,Program Management,2017
4067,U.S. Agency for International Development,Enterprise - Non United States Unknown,Completion,0.0,2013-10-01,2014-09-30,7078.11999999999,72010,Material relief assistance and services,Humanitarian Assistance,2013
4068,U.S. Agency for International Development,U.S. Government - Department of State,Completion,0.0,2015-10-01,2016-09-30,55.0,72010,Material relief assistance and services,Humanitarian Assistance,2015
4069,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,18000000.0,2015-10-01,2018-09-30,1033852.0,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2015
4070,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,14156175.0,2016-10-01,2018-09-30,337707.0,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2016
4071,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,96618462.0,2013-05-01,2018-09-30,2031963.77,72010,Material relief assistance and services,Humanitarian Assistance,2013
4072,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,89629212.0,2013-08-28,2018-09-30,5400000.0,72040,Emergency food aid,Humanitarian Assistance,2013
4073,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2013-10-01,2014-09-30,252.099999999999,43010,Multisector aid,Program Management,2013
4074,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2012-10-01,2014-09-30,59.46,74010,Disaster prevention and preparedness,Humanitarian Assistance,2012
4075,U.S. Agency for International Development,Dexis Consulting Group,Implementation,0.0,2014-10-01,2018-09-30,3050666.0,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2014
4076,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2015-10-01,2017-09-30,1000.0,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2015
4077,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,89629212.0,2013-08-28,2018-09-30,21712.0,72040,Emergency food aid,Humanitarian Assistance,2013
4078,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,19878990.0,2015-10-01,2018-09-30,1703879.0,72040,Emergency food aid,Humanitarian Assistance,2015
4079,U.S. Agency for International Development,United Nations Children's Fund,Completion,74369160.0,2015-01-01,2017-09-30,17300000.0,72010,Material relief assistance and services,Humanitarian Assistance,2015
4080,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,14086271.0,2016-10-01,2017-09-30,14086271.0,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2016
4081,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2016-10-01,2017-09-30,9980.0,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2016
4083,U.S. Agency for International Development,Government of Germany,Completion,0.0,2015-10-01,2016-09-30,10000000.0,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2015
4084,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,5477215.0,2015-10-01,2018-09-30,1022589.18,72010,Material relief assistance and services,Humanitarian Assistance,2015
4085,U.S. Agency for International Development,Dexis Consulting Group,Implementation,0.0,2014-10-01,2018-09-30,1118066.43999999,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2014
4086,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2013-10-01,2015-09-30,42.0,72010,Material relief assistance and services,Humanitarian Assistance,2013
4087,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,2000000.0,2016-10-01,2018-09-30,1000000.0,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2016
4088,U.S. Agency for International Development,Unspecified Vendors - Bosnia and Herzegovina,Completion,0.0,2016-10-01,2017-09-30,6963.97,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2016
4089,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2012-10-01,2014-09-30,565.0,74010,Disaster prevention and preparedness,Humanitarian Assistance,2012
4090,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2016-10-01,2017-09-30,5912.39,91010,Administrative costs,Program Management,2016
4091,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2014-01-31,2017-09-30,377501.83,72010,Material relief assistance and services,Humanitarian Assistance,2014
4092,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2012-10-01,2014-09-30,283.79,72010,Material relief assistance and services,Humanitarian Assistance,2012
4093,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2015-10-01,2016-09-30,3705.3,91010,Administrative costs,Program Management,2015
4094,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,4000000.0,2015-10-01,2018-09-30,4000000.0,72010,Material relief assistance and services,Humanitarian Assistance,2015
4095,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2016-10-01,2017-09-30,38305.72,43010,Multisector aid,Program Management,2016
4096,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2012-06-28,2017-09-30,31400000.0,72040,Emergency food aid,Humanitarian Assistance,2012
4097,U.S. Agency for International Development,"Development Transformations, Llc",Completion,0.0,2014-04-17,2015-09-30,421657.52,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2014
4098,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2013-01-25,2017-09-30,1330749.15999999,72010,Material relief assistance and services,Humanitarian Assistance,2013
4099,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,0.0,2013-05-01,2018-09-30,33994800.0,72010,Material relief assistance and services,Humanitarian Assistance,2013
4100,U.S. Agency for International Development,United Nations Children's Fund,Completion,0.0,2013-09-06,2016-09-30,4526195.28,72010,Material relief assistance and services,Humanitarian Assistance,2013
4101,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,2996600.0,2015-09-01,2017-09-30,548817.109999999,72010,Material relief assistance and services,Humanitarian Assistance,2015
4102,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2015-10-01,2016-09-30,4576.89999999999,91010,Administrative costs,Program Management,2015
4103,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2014-01-31,2017-09-30,467498.169999999,72010,Material relief assistance and services,Humanitarian Assistance,2014
4104,U.S. Agency for International Development,Enterprise - Non United States Unknown,Completion,0.0,2015-10-01,2016-09-30,1040.36999999999,72010,Material relief assistance and services,Humanitarian Assistance,2015
4105,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2016-10-01,2017-09-30,15133.87,43010,Multisector aid,Education and Social Services,2016
4106,U.S. Agency for International Development,U.S. Government - U.S. Agency for International Development,Implementation,0.0,2017-10-01,2018-09-30,30725.18,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2017
4107,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,0.0,2013-08-28,2018-09-30,13999071.0,72040,Emergency food aid,Humanitarian Assistance,2013
4108,U.S. Agency for International Development,United Nations Children's Fund,Completion,0.0,2012-10-01,2016-09-30,2002311.68999999,72010,Material relief assistance and services,Humanitarian Assistance,2012
4109,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,5800000.0,2014-10-01,2018-09-30,426966.4,72040,Emergency food aid,Humanitarian Assistance,2014
4110,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,15700000.0,2015-09-30,2017-09-30,1000000.0,72010,Material relief assistance and services,Humanitarian Assistance,2015
4111,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2012-10-01,2014-09-30,2560.0,72010,Material relief assistance and services,Humanitarian Assistance,2012
4112,U.S. Agency for International Development,U.S. Government - U.S. Agency for International Development,Implementation,0.0,2017-10-01,2018-09-30,40822.5999999999,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2017
4113,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2016-10-01,2017-09-30,20450.0,43010,Multisector aid,Program Management,2016
4114,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2016-10-01,2017-09-30,2350.0,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2016
4115,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,6032831.0,2015-10-01,2018-09-30,239923.299999999,72010,Material relief assistance and services,Humanitarian Assistance,2015
4116,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2016-10-01,2017-09-30,3681.17,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2016
4117,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2012-10-01,2014-09-30,1498.8,72010,Material relief assistance and services,Humanitarian Assistance,2012
4118,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2016-10-01,2017-09-30,1656.0,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2016
4119,U.S. Agency for International Development,Consortium for Elections and Political Process Strengthening,Implementation,5200000.0,2015-06-15,2018-06-19,860000.0,15110,Economic and development policy/planning,"Democracy, Human Rights, and Governance",2015
4120,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2012-10-01,2017-09-30,299814.349999999,72010,Material relief assistance and services,Humanitarian Assistance,2012
4121,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,6775927.0,2013-10-01,2017-09-30,229441.0,72040,Emergency food aid,Humanitarian Assistance,2013
4122,U.S. Agency for International Development,U.S. Government - U.S. Agency for International Development,Completion,0.0,2015-10-01,2016-09-30,3982.53,43010,Multisector aid,Education and Social Services,2015
4123,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,73039897.0,2015-01-29,2018-09-30,9769000.0,72040,Emergency food aid,Humanitarian Assistance,2015
4124,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2015-10-01,2016-09-30,13068.4599999999,72010,Material relief assistance and services,Humanitarian Assistance,2015
4125,U.S. Agency for International Development,Vendor implementing direct administrative services,Implementation,0.0,2017-10-01,2018-09-30,13139.07,91010,Administrative costs,Program Management,2017
4126,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2015-10-01,2016-09-30,2386.0,72010,Material relief assistance and services,Humanitarian Assistance,2015
4127,U.S. Agency for International Development,Enterprise - Non United States Unknown,Completion,0.0,2012-10-01,2014-09-30,1432.75,72010,Material relief assistance and services,Humanitarian Assistance,2012
4128,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2015-10-01,2017-09-30,4692.0,72010,Material relief assistance and services,Humanitarian Assistance,2015
4129,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2015-10-01,2017-09-30,14985.43,72010,Material relief assistance and services,Humanitarian Assistance,2015
4130,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2012-10-01,2014-09-30,499.3,72010,Material relief assistance and services,Humanitarian Assistance,2012
4131,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2016-10-01,2017-09-30,2424.46999999999,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2016
4132,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2016-10-01,2017-09-30,16903.2,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2016
4133,U.S. Agency for International Development,United Nations Population Fund,Completion,6885080.0,2012-10-01,2017-09-30,5560.32999999999,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2012
4134,U.S. Agency for International Development,Personal Services Contractors - USAID,Implementation,0.0,2016-10-01,2018-09-30,7439.97999999999,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2016
4135,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,1256311.0,2012-10-01,2018-09-30,294000.45,52010,Food aid/Food security programmes,Humanitarian Assistance,2012
4136,U.S. Agency for International Development,"Blumont Engineering Solutions, Inc",Implementation,44998925.0,2016-06-18,2018-09-30,3627180.91999999,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2016
4137,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,0.0,2013-05-01,2018-09-30,1655626.0,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2013
4138,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,27498340.4899999,2014-01-01,2017-09-30,345.699999999999,72010,Material relief assistance and services,Humanitarian Assistance,2014
4139,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,8162631.0,2015-09-01,2017-09-30,494300.0,72010,Material relief assistance and services,Humanitarian Assistance,2015
4140,U.S. Agency for International Development,Dexis Consulting Group,Implementation,12333368.0,2014-10-01,2018-09-30,742127.38,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2014
4141,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,21834063.0,2013-07-01,2017-09-30,100388.0,72010,Material relief assistance and services,Humanitarian Assistance,2013
4142,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2016-10-01,2017-09-30,45000.0,91010,Administrative costs,Program Management,2016
4143,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,3724683.0,2016-10-01,2018-09-30,398846.19,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2016
4144,U.S. Agency for International Development,International Federation of Red Cross and Red Crescent Societies,Completion,3000000.0,2016-10-01,2017-09-30,3000000.0,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2016
4145,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,2996600.0,2015-09-01,2017-09-30,777826.06,72010,Material relief assistance and services,Humanitarian Assistance,2015
4146,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2012-10-01,2014-09-30,285.54,74010,Disaster prevention and preparedness,Humanitarian Assistance,2012
4147,U.S. Agency for International Development,U.S. Government - Department of State,Completion,0.0,2012-10-01,2014-09-30,55.0,74010,Disaster prevention and preparedness,Humanitarian Assistance,2012
4148,U.S. Agency for International Development,United Nations Children's Fund,Completion,2500000.0,2013-10-01,2016-09-30,159591.76,72010,Material relief assistance and services,Humanitarian Assistance,2013
4149,U.S. Agency for International Development,Consortium for Elections and Political Process Strengthening,Implementation,5200000.0,2015-06-15,2018-06-19,340000.0,15150,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2015
4150,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,6338131.0,2015-05-27,2017-09-30,1843445.0,72010,Material relief assistance and services,Humanitarian Assistance,2015
4151,U.S. Agency for International Development,"Chemonics International, Inc.",Completion,0.0,2012-10-01,2014-09-30,3555565.0,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2012
4152,U.S. Agency for International Development,U.S. Government - Department of State,Completion,0.0,2013-10-01,2014-09-30,10.0,43010,Multisector aid,Education and Social Services,2013
4154,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,0.0,2013-05-01,2018-09-30,13341544.0,72010,Material relief assistance and services,Humanitarian Assistance,2013
4155,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,4000000.0,2015-10-01,2018-09-30,554000.0,72010,Material relief assistance and services,Humanitarian Assistance,2015
4156,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,2990491.0,2012-10-01,2017-09-30,8794.42,72010,Material relief assistance and services,Humanitarian Assistance,2012
4157,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,5800000.0,2014-10-01,2018-09-30,1374078.18999999,72040,Emergency food aid,Humanitarian Assistance,2014
4159,U.S. Agency for International Development,U.S. Government - Department of State,Completion,0.0,2014-10-01,2015-09-30,55.0,72010,Material relief assistance and services,Humanitarian Assistance,2014
4160,U.S. Agency for International Development,U.S. Government - U.S. Agency for International Development,Implementation,0.0,2017-10-01,2018-09-30,1144.94,43010,Multisector aid,Program Management,2017
4161,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2016-10-01,2017-09-30,2140.59999999999,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2016
4162,U.S. Agency for International Development,U.S. Government - Department of State,Completion,0.0,2014-10-01,2015-09-30,55.0,74010,Disaster prevention and preparedness,Humanitarian Assistance,2014
4163,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,89629212.0,2013-08-28,2018-09-30,39999999.0,72040,Emergency food aid,Humanitarian Assistance,2013
4164,U.S. Agency for International Development,U.S. Government - U.S. Agency for International Development,Implementation,0.0,2017-10-01,2018-09-30,5988.6,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2017
4165,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,0.0,2014-10-01,2018-09-30,40000.0,72010,Material relief assistance and services,Humanitarian Assistance,2014
4166,U.S. Agency for International Development,Consortium for Elections and Political Process Strengthening,Implementation,7588492.0,2015-06-15,2018-06-19,16193.86,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2015
4167,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2015-10-01,2016-09-30,4490.73999999999,91010,Administrative costs,Program Management,2015
4168,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2016-10-01,2017-09-30,140040.0,43010,Multisector aid,Education and Social Services,2016
